Code,Carbon Tetrachloride (ODS tonnes),Hydrochlorofluorocarbons (HCFCs) (ODS tonnes),Chlorofluorocarbons (CFCs) (ODS tonnes),Methyl Chloroform (ODS tonnes),Halons (ODS tonnes),ODS emissions
AFG,0.9,0.0,,0.0,,0.9
AFG,0.3,3.2,177.9,0.0,0.1,181.5
AFG,0.1,4.1,141.2,0.0,0.0,145.39999999999998
AFG,0.1,4.8,94.5,0.0,0.0,99.4
AFG,0.0,6.1,55.2,0.0,0.0,61.300000000000004
AFG,0.0,7.9,40.0,0.0,0.0,47.9
AFG,0.0,22.2,27.0,0.0,0.0,49.2
AFG,0.0,24.9,0.0,0.0,0.0,24.9
AFG,0.0,24.04,0.0,0.0,0.0,24.04
AFG,0.0,17.34,0.0,0.0,0.0,17.34
AFG,0.0,17.7,0.0,0.0,0.0,17.7
ALB,3.5,0.0,40.3,0.0,,43.8
ALB,3.1,0.0,40.3,0.0,0.0,43.4
ALB,3.1,0.0,40.1,0.0,0.0,43.2
ALB,3.1,0.0,41.9,0.2,0.0,45.2
ALB,3.1,0.0,46.5,0.0,0.0,49.6
ALB,3.1,0.0,53.1,0.0,0.0,56.2
ALB,3.1,0.0,61.9,0.1,0.0,65.1
ALB,1.3,0.0,68.8,0.1,0.0,70.19999999999999
ALB,0.0,0.0,49.9,0.6,0.0,50.5
ALB,2.9,0.0,35.0,0.1,0.0,38.0
ALB,0.0,0.0,36.6,0.0,0.0,36.6
ALB,0.0,0.0,14.3,0.0,0.0,14.3
ALB,0.0,0.0,15.2,0.0,0.0,15.2
ALB,0.0,2.5,4.1,0.0,0.0,6.6
ALB,0.0,4.1,0.0,0.0,0.0,4.1
ALB,0.0,5.4,0.0,0.0,0.0,5.4
ALB,0.0,6.5,0.0,0.0,0.0,6.5
ALB,0.0,6.49,0.0,0.0,0.0,6.49
ALB,0.0,6.59,0.0,0.0,0.0,6.59
ALB,0.0,5.67,0.0,0.0,0.0,5.67
DZA,20.9,0.0,3570.2,15.4,0.0,3606.5
DZA,18.7,4.7,2146.4,5.4,189.0,2364.2000000000003
DZA,22.0,5.8,2226.0,5.5,83.0,2342.3
DZA,20.9,5.4,2292.2,5.8,195.0,2519.3
DZA,20.9,6.6,2292.2,5.8,322.0,2647.5
DZA,20.9,6.6,1774.2,5.8,195.0,2002.5
DZA,20.9,6.6,1549.2,5.8,195.0,1777.5
DZA,20.9,6.6,1502.2,5.8,195.0,1730.5
DZA,20.9,6.6,1474.6,5.8,195.0,1702.8999999999999
DZA,18.7,6.6,1021.8,5.0,169.0,1221.1
DZA,18.7,6.6,1761.8,5.0,169.0,1961.1
DZA,18.7,6.6,1761.8,5.0,169.0,1961.1
DZA,2.2,6.6,1045.0,4.0,80.0,1137.8
DZA,2.2,6.6,859.0,4.0,80.0,951.8
DZA,2.2,36.2,302.6,4.0,80.0,425.0
